mm_v279a_fu_r_EVS5,Time of ithe nterview - End (constructed)   (follow-up) (EVS5),,mm_v279a_fu_r,time of interview: end (constructed)   (Q108) (follow-up),, --, --,,,,,,,,,,,,,,,,,,
lnge_num,Language in which interview was conducted (WVS/EVS list of languages),,v281a_r,language of interview (WVS/EVS numeric 3-digit) (Q110),,S_INTLANGUAGE,Language in which interview was conducted,,,,,,,,,,,,,,,,,,
lnge_iso,Language in which interview was conducted  (ISO 639-1 alpha-2 / 639-2 alpha-3) ,,v281a,language of interview (ISO 639-1 Alpha code 2 digit) (Q110),, --, --,,,,,,,,,,,,,,,,,,
gwght,Weight,,gweight,Calibration weights: with educational level ,,W_Weight,,,,,,,,,,,,,,,,,,,
pwght,Population size weight,,pweight ,Population size weights ,, --, --,,,,,,,,,,,,,,,,,,
wght_eq1000,Equilibrated weight-1000,, --, --,,S018,Equilibrated weight-1000,,,,,,,,,,,,,,,,,,
reg_nuts1,Region where the interview was conducted (NUTS-1),,v275b_N1,region where interview was conducted: NUTS-1 code (Q105),, --, --,,,,,,,,,,,,,,,,,,
reg_nuts2,Region where the interview was conducted (NUTS-2),,v275b_N2,region where interview was conducted: NUTS-2 code (Q105),, --, --,,,,,,,,,,,,,,,,,,
reg_iso,Region where the interview was conducted (ISO) ,, --, --,,N_REGION_ISO,Region ISO 3166-2,,,,,,,,,,,,,,,,,,
size_5c,Size of town where interview was conducted (5 categories),,v276_r,size of town where interview was conducted Q106 (5 categories),,G_TOWNSIZE2 ,Settlement size_5 groups,,,,,,,,,,,,,,,,,,
respint,Respondent interested during the interview,,v280,interest of respondent during interview (Q109),,E_RESPINT,Respondent interested during the interview,,,,,,,,,,,,,,,,,,
A001,Important in life: Family,,v2,how important in your life: family (Q1B),,Q1,Important in life: Family,,,,,,,,,,,,,,,,,,
A002,Important in life: Friends,,v3,how important in your life: friends and acquaintances (Q1C),,Q2,Important in life: Friends,,,,,,,,,,,,,,,,,,
A003,Important in life: Leisure time,,v4,how important in your life: leisure time (Q1D),,Q3,Important in life: Leisure time,,,,,,,,,,,,,,,,,,
A004,Important in life: Politics,,v5,how important in your life: politics (Q1E),,Q4,Important in life: Politics,,,,,,,,,,,,,,,,,,
A005,Important in life: Work,,v1,how important in your life: work (Q1A),,Q5,Important in life: Work,,,,,,,,,,,,,,,,,,
A006,Important in life: Religion,,v6,how important in your life: religion (Q1F),,Q6,Important in life: Religion,,,,,,,,,,,,,,,,,,
A008,Feeling of happiness,,v7,taking all things together how happy are you (Q2),,Q46,Feeling of happiness,,,,,,,,,,,,,,,,,,
A009,State of health (subjective),,v8,describe your state of health these days (Q3),,Q47,State of health (subjective),,,,,,,,,,,,,,,,,,
A173,How much freedom of choice and control,,v38,how much control over your life (Q9),,Q48,How much freedom of choice and control,,,,,,,,,,,,,,,,,,
A170,Satisfaction with your life,,v39,how satisfied are you with your life (Q10),,Q49,Satisfaction with your life,,,,,,,,,,,,,,,,,,
A027,Important child qualities: good manners,,v85,learn children at home: good manners (Q28A),,Q7,Important child qualities: Good manners,,,,,,,,,,,,,,,,,,
A029,Important child qualities: independence,,v86,learn children at home: independence (Q28B),,Q8,Important child qualities: independence,,,,,,,,,,,,,,,,,,
A030,Important child qualities: hard work,,v87,learn children at home: hard work (Q28C),,Q9,Important child qualities: Hard work,,,,,,,,,,,,,,,,,,
A032,Important child qualities: feeling of responsibility,,v88,learn children at home: feeling of responsibility (Q28D),,Q10,Important child qualities: feeling of responsibility,,,,,,,,,,,,,,,,,,
A034,Important child qualities: imagination,,v89,learn children at home: imagination (Q28E),,Q11,Important child qualities: imagination,,,,,,,,,,,,,,,,,,
A035,Important child qualities: tolerance and respect for other people,,v90,learn children at home: tolerance and respect (Q28F),,Q12,Important child qualities: tolerance and respect for other people,,,,,,,,,,,,,,,,,,
A038,Important child qualities: thrift saving money and things,,v91,"learn children at home: thrift, saving money and things (Q28G)",,Q13,Important child qualities: thrift saving money and things,,,,,,,,,,,,,,,,,,
A039,Important child qualities: determination perseverance,,v92,"learn children at home: determination, perseverance (Q28H)",,Q14,Important child qualities: determination perseverance,,,,,,,,,,,,,,,,,,
A040,Important child qualities: religious faith,,v93,learn children at home: religious faith (Q28I),,Q15,Important child qualities: religious faith,,,,,,,,,,,,,,,,,,
A041,Important child qualities: unselfishness,,v94,learn children at home: unselfishness (Q28J),,Q16,Important child qualities: unselfishness,,,,,,,,,,,,,,,,,,
A042,Important child qualities: obedience,,v95,learn children at home: obedience (Q28K),,Q17,Important child qualities: obedience,,,,,,,,,,,,,,,,,,
A065,Member: Belong to religious organization,,v9,do you belong to: religious or churg organization (Q4A),,Q94R,Active/Inactive membership of church or religious organization,,,,,,,,,,,,,,,,,,
A066,"Member: Belong to education, arts, music or cultural activities",,v10,do you belong to: cultural activities (Q4B),,Q96R,"Active/Inactive membership of art, music, educational",,,,,,,,,,,,,,,,,,
A067,Member: Belong to labour unions,,v11,do you belong to: trade unions (Q4C),,Q97R,Active/Inactive membership of labour unions,,,,,,,,,,,,,,,,,,
A068,Member: Belong to political parties,,v12,do you belong to: political parties/groups (Q4D),,Q98R,Active/Inactive membership of political party,,,,,,,,,,,,,,,,,,
A071,"Member: Belong to conservation, the environment, ecology, animal rights",,v13,"do you belong to: environment, ecology, animal rights (Q4E)",,Q99R,Active/Inactive membership of environmental organization,,,,,,,,,,,,,,,,,,
A072,Member: Belong to professional associations,,v14,do you belong to: professional associations (Q4F),,Q100R,Active/Inactive membership of professional organization,,,,,,,,,,,,,,,,,,
A074,Member: Belong to sports or recreation,,v15,do you belong to: sports/recreation (Q4G),,Q95R,Active/Inactive membership of sport or recreation,,,,,,,,,,,,,,,,,,
A078,Member: Belong to consumer groups,,v17,do you belong to: Consumer organization (Q4),,Q102R,Active/Inactive membership: Consumer organization,,,,,,,,,,,,,,,,,,
A079,Member: Belong to other groups,,v19,do you belong to: other groups (Q4K),,Q105R,Active/Inactive membership of any other organization,,,,,,,,,,,,,,,,,,
A080_01,Member: Humanitarian or charitable organization,,v16,do you belong to: Humanitarian or charitable organization (Q4),,Q101R,Active/Inactive membership of charitable/humanitarian organization,,,,,,,,,,,,,,,,,,
A080_02,"Member:  Self-help group, mutual aid group",,v18,"do you belong to: Self-help group, mutual aid group (Q4)",,Q103R,"Active/Inactive membership: Self-help group, mutual aid group",,,,,,,,,,,,,,,,,,
A124_02,Neighbours: People of a different race,,v22,dont like as neighbours: people of different race (Q6A),,Q19,Neighbours: People of a different race,,,,,,,,,,,,,,,,,,
A124_03,Neighbours: Heavy drinkers,,v23,dont like as neighbours: heavy drinkers (Q6B),,Q24,Neighbours: Heavy drinkers,,,,,,,,,,,,,,,,,,
A124_06,Neighbours: Immigrants/foreign workers,,v24,dont like as neighbours: immigrants/foreign workers (Q6C),,Q21,Neighbours: Immigrants/foreign workers,,,,,,,,,,,,,,,,,,
A124_08,Neighbours: Drug addicts,,v25,dont like as neighbours: drug addicts (Q6D),,Q18,Neighbours: Drug addicts,,,,,,,,,,,,,,,,,,
A124_09,Neighbours: Homosexuals,,v26,dont like as neighbours: homosexuals (Q6E),,Q22,Neighbours: Homosexuals,,,,,,,,,,,,,,,,,,
B008,Protecting environment vs. Economic growth,,v204,protecting environment vs. economic growth (Q57),,Q111,Protecting environment vs. Economic growth,,,,,,,,,,,,,,,,,,
C001,"Jobs scarce: Men should have more right to a job than women
(3-point scale)",, --, --,, --, --,,,,,,,,,,,,,,,,,,
C001_01,"Jobs scarce: Men should have more right to a job than women
(5-point scale)",,v81,jobs are scarce: giving men priority (Q26B),,Q33,Jobs scarce: Men should have more right to a job than women,,,,,,,,,,,,,,,,,,
C002,"Jobs scarce: Employers should give priority to (nation) people than immigrants
(3-point scale)",, --, --,, --, --,,,,,,,,,,,,,,,,,,
C002_01,"Jobs scarce: Employers should give priority to (nation) people than immigrants
(5-point scale)",,v80,jobs are scarce: giving...(nation) priority (Q26A),,Q34,Jobs scarce: Employers should give priority to (nation) people than immigrants,,,,,,,,,,,,,,,,,,
D081,Homosexual couples are as good parents as other couples,,v82,Homosexual couples are as good parents as other couples,,Q36,Homosexual couples are as good parents as other couples,,,,,,,,,,,,,,,,,,
D026_03,Duty towards society to have children,,v83,duty towards society to have children (Q27B),,Q37,Duty towards society to have children,,,,,,,,,,,,,,,,,,
D026_05,It is childs duty to take care of ill parent,,v84,It is childs duty to provide long-term care for parents (Q27C),,Q38,It is childs duty to take care of ill parent,,,,,,,,,,,,,,,,,,
C038,People who don´t work turn lazy,,v48,people turn lazy not working (Q12C),,Q39,People who don´t work turn lazy,,,,,,,,,,,,,,,,,,
C039,Work is a duty towards society,,v49,work is a duty towards society (Q12D),,Q40,Work is a duty towards society,,,,,,,,,,,,,,,,,,
C041,Work should come first even if it means less spare time,,v50,work comes always first (Q12E),,Q41,Work should  always come first even if it means less spare time,,,,,,,,,,,,,,,,,,
D054,One of main goals in life has been to make my parents proud,,v79,one of main goals in life has been to make my parents proud (Q25H),,Q27,One of main goals in life has been to make my parents proud,,,,,,,,,,,,,,,,,,
D059,Men make better political leaders than women do,,v76,men make better political leaders than women (Q25E),,Q29,Men make better political leaders than women do,,,,,,,,,,,,,,,,,,
D060,University is more important for a boy than for a girl,,v77,university education more important for a boy than for a girl (Q25F),,Q30,University is more important for a boy than for a girl,,,,,,,,,,,,,,,,,,
D061,Pre-school child suffers with working mother,,v72,child suffers with working mother (Q25A),,Q28,Pre-school child suffers with working mother,,,,,,,,,,,,,,,,,,
D078,Men make better business executives than women do,,v78,men make better business executives than women (Q25G),,Q31,Men make better business executives than women do,,,,,,,,,,,,,,,,,,
E001,Aims of country: first choice,,v108,aims of this country: most important (Q33),,Q152,Aims of country: first choice,,,,,,,,,,,,,,,,,,
E002,Aims of country: second choice,,v109,aims of this country: 2nd most important (Q33a),,Q153,Aims of country: second choice,,,,,,,,,,,,,,,,,,
E003,Aims of respondent: first choice,,v110,aims of respondent: most important (Q34),,Q154,Aims of respondent: first choice,,,,,,,,,,,,,,,,,,
E004,Aims of respondent: second choice,,v111,aims of respondent: 2nd most important (Q35),,Q155,Aims of respondent: second choice,,,,,,,,,,,,,,,,,,
Y002,Post-Materialist index 4-item,,v111_4 ,post-materialist index 4-item (constructed),,Y002,Post-Materialist index 4-item,,,,,,,,,,,,,,,,,,
E012,Willingness to fight for country,,v112,are you willing to fight for country (Q36),,Q151,Willingness to fight for country,,,,,,,,,,,,,,,,,,
E015,Future changes: less importance placed on work,,v113,good/bad: decrease work importance (Q37A),,Q43,Future changes: Less importance placed on work,,,,,,,,,,,,,,,,,,
E018,Future changes: greater respect for authority,,v114,good/bad: greater respect for authority (Q37B),,Q45,Future changes: Greater respect for authority,,,,,,,,,,,,,,,,,,
E023,Interest in politics,,v97,how interested are you in politics (Q29),,Q199,Interest in politics,,,,,,,,,,,,,,,,,,
E025,Political action: signing a petition,,v98,political action: signing a petition (Q30A),,Q209,Political action: Signing a petition,,,,,,,,,,,,,,,,,,
E026,Political action: joining in boycotts,,v99,political action: joining in boycotts (Q30B),,Q210,Political action: joining in boycotts,,,,,,,,,,,,,,,,,,
E027,Political action: attending lawful/peaceful demonstrations,,v100,political action: attending lawful demonstrations (Q30C),,Q211,Political action: attending lawful/peaceful demonstrations,,,,,,,,,,,,,,,,,,
E028,Political action: joining unofficial strikes,,v101,political action: joining unofficial strikes (Q30D),,Q212,Political action: joining unofficial strikes,,,,,,,,,,,,,,,,,,
E033,Self positioning in political scale,,v102,political view: left-right (Q31),,Q240,Self positioning in political scale,,,,,,,,,,,,,,,,,,
E035,Income equality,,v106,equalize incomes vs. incentives for individual effort (Q32D),,Q106,Income equality,,,,,,,,,,,,,,,,,,
E036,Private vs state ownership of business,,v107,private vs. government ownership business (Q32E),,Q107,Private vs state ownership of business,,,,,,,,,,,,,,,,,,
E037,Government responsibility,,v103,individual vs. state responsibility for providing (Q32A),,Q108,Government responsibility,,,,,,,,,,,,,,,,,,
E039,Competition good or harmful,,v105,competition is good vs. harmful (Q32C),,Q109,Competition good or harmful,,,,,,,,,,,,,,,,,,
E069_01,Confidence: Churches,,v115,how much confidence in: church (Q38A),,Q64,Confidence: Churches,,,,,,,,,,,,,,,,,,
E069_02,Confidence: Armed Forces,,v116,how much confidence in: armed forces (Q38B),,Q65,Confidence: Armed Forces,,,,,,,,,,,,,,,,,,
E069_04,Confidence: The Press,,v118,how much confidence in: the press (Q38D),,Q66,Confidence: The Press,,,,,,,,,,,,,,,,,,
E069_05,Confidence: Labour Unions,,v119,how much confidence in: trade unions (Q38E),,Q68,Confidence: Labour Unions,,,,,,,,,,,,,,,,,,
E069_06,Confidence: The Police,,v120,how much confidence in: the police (Q38F),,Q69,Confidence: The Police,,,,,,,,,,,,,,,,,,
E069_07,Confidence: Parliament,,v121,how much confidence in: parliament (Q38G),,Q73,Confidence: Parliament,,,,,,,,,,,,,,,,,,
E069_08,Confidence: The Civil Services,,v122,how much confidence in: civil service (Q38H),,Q74,Confidence: The Civil Services,,,,,,,,,,,,,,,,,,
E069_18A,Confidence: Major regional organization (combined from country-specific),,v124,how much confidence in: European Union (Q38J),,Q82,Confidence: Major regional organization (combined from country-specific),,,,,,,,,,,,,,,,,,
E069_18,Confidence: The European Union,,v124,how much confidence in: European Union (Q38J),,Q82_EU,Confidence: The European Union,,,,,,,,,,,,,,,,,,
E069_11,Confidence: The Government,,v131,how much confidence in: government (Q38Q),,Q71,Confidence: The Government,,,,,,,,,,,,,,,,,,
E069_12,Confidence: The Political Parties,,v130,how much confidence in: political parties (Q38P),,Q72,Confidence: The Political Parties,,,,,,,,,,,,,,,,,,
E069_13,Confidence: Major Companies,,v128,how much confidence in: major companies (Q38N),,Q77,Confidence: Major Companies,,,,,,,,,,,,,,,,,,
E069_14,Confidence: The Environmental Protection Movement,,v129,how much confidence in: environmental organizations (Q38O),,Q79,Confidence: The Environmental Protection Movement,,,,,,,,,,,,,,,,,,
E069_17,Confidence: Justice System/Courts,,v127,how much confidence in: justice system (Q38M),,Q70,Confidence: Justice System/Courts,,,,,,,,,,,,,,,,,,
E069_20,Confidence: The United Nations,,v125,how much confidence in: United Nations Organization (Q38K),,Q83,Confidence: The United Nations,,,,,,,,,,,,,,,,,,
E111_01,Satisfaction with the political system,,v144,satisfaction political system (Q42),,Q252,Rate political system for governing country,,,,,,,,,,,,,,,,,,
E114,Political system: Having a strong leader,,v145,political system: strong leader (Q43A),,Q235,Political system: Having a strong leader,,,,,,,,,,,,,,,,,,
E115,Political system: Having experts make decisions,,v146,political system: experts making decisions (Q43B),,Q236,Political system: Having experts make decisions,,,,,,,,,,,,,,,,,,
E116,Political system: Having the army rule,,v147,political system: the army ruling (Q43C),,Q237,Political system: Having the army rule,,,,,,,,,,,,,,,,,,
E117,Political system: Having a democratic political system,,v148,political system: democratic (Q43D),,Q238,Political system: Having a democratic political system,,,,,,,,,,,,,,,,,,
E179_WVS7,Which party would you vote for: first choice (WVS5),, --, --,,Q223_WVS,Which party would you vote for if there were a national election tomorrow,,,,,,,,,,,,,,,,,,
E181_EVS5,Which political party appeals to you most (ISO 3166-1) (EVS5),,v174_cs,"which political party appeals to you most (Q49) (ISO 3166-1, country-specific)",, --, --,,,,,,,,,,,,,,,,,,
E224,Democracy: Governments tax the rich and subsidize the poor.,,v133,democracy: governments tax the rich and subsidize the poor (Q39A),,Q241,Democracy: Governments tax the rich and subsidize the poor.,,,,,,,,,,,,,,,,,,
E225,Democracy: Religious authorities interpret the laws.,,v134,democracy: religious authorities interpret the laws (Q39B),,Q242,Democracy: Religious authorities interpret the laws.,,,,,,,,,,,,,,,,,,
E226,Democracy: People choose their leaders in free elections.,,v135,democracy: people choose their leaders in free elections (Q39C),,Q243,Democracy: People choose their leaders in free elections.,,,,,,,,,,,,,,,,,,
E227,Democracy: People receive state aid for unemployment.,,v136,democracy: people receive state aid for unemployment (Q39D),,Q244,Democracy: People receive state aid for unemployment.,,,,,,,,,,,,,,,,,,
E228,Democracy: The army takes over when government is incompetent.,,v137,democracy: the army takes over when government is incompetent (Q39E),,Q245,Democracy: The army takes over when government is incompetent.,,,,,,,,,,,,,,,,,,
E229,Democracy: Civil rights protect people’s liberty against oppression.,,v138,democracy: civil rights protect people from state oppression (Q39F),,Q246,Democracy: Civil rights protect people’s liberty against oppression.,,,,,,,,,,,,,,,,,,
E233,Democracy: Women have the same rights as men.,,v141,democracy: women have the same rights as men (Q39I),,Q249,Democracy: Women have the same rights as men.,,,,,,,,,,,,,,,,,,
E233A,Democracy: The state makes people's incomes equal,,v139,democracy: the state makes people’s incomes equal (Q39G),,Q247,Democracy: The state makes people's incomes equal,,,,,,,,,,,,,,,,,,
E233B,Democracy: People obey their rulers,,v140,democracy: people obey their rulers (Q39H),,Q248,Democracy: People obey their rulers,,,,,,,,,,,,,,,,,,
E235,Importance of democracy,,v142,importance of democracy (Q40),,Q250,Importance of democracy,,,,,,,,,,,,,,,,,,
E236,Democraticness in own country,,v143,democracy in own country (Q41),,Q251,How democratically is this country being governed today,,,,,,,,,,,,,,,,,,
E263,Vote in elections: local level,,v171,vote in elections: local level (Q48A),,Q221,Vote in elections: local level,,,,,,,,,,,,,,,,,,
E264,Vote in elections: National level,,v172,vote in elections: national level (Q48B),,Q222,Vote in elections: National level,,,,,,,,,,,,,,,,,,
E265_01,How often in country's elections: Votes are counted fairly,,v176,how often in country's elections: votes are counted fairly (Q50A),,Q224,How often in country's elections: Votes are counted fairly,,,,,,,,,,,,,,,,,,
E265_02,How often in country's elections: Opposition candidates are prevented from running,,v177,how often in country's elections: opposition candidates are prevented from running (Q50B),,Q225,How often in country's elections: Opposition candidates are prevented from running,,,,,,,,,,,,,,,,,,
E265_03,How often in country's elections: TV news favors the governing party,,v178,how often in country's elections: TV news favors the governing party (Q50C),,Q226,How often in country's elections: TV news favors the governing party,,,,,,,,,,,,,,,,,,
E265_04,How often in country's elections: Voters are bribed,,v179,how often in country's elections: voters are bribed (Q50D),,Q227,How often in country's elections: Voters are bribed,,,,,,,,,,,,,,,,,,
E265_05,How often in country's elections: Journalists provide fair coverage of elections,,v180,how often in country's elections: journalists provide fair coverage of elections (Q50E),,Q228,How often in country's elections: Journalists provide fair coverage of elections,,,,,,,,,,,,,,,,,,
E265_06,How often in country's elections: Election officials are fair,,v181,how often in country's elections: election officials are fair (Q50F),,Q229,How often in country's elections: Election officials are fair,,,,,,,,,,,,,,,,,,
E265_07,How often in country's elections: Rich people buy elections,,v182,how often in country's elections: rich people buy elections (Q50G),,Q230,How often in country's elections: Rich people buy elections,,,,,,,,,,,,,,,,,,
E265_08,How often in country's elections: Voters are threatened with  violence at the polls,,v183,how often in country's elections: voters are threatened with violence at the polls (Q50H),,Q231,How often in country's elections: Voters are threatened with  violence at the polls,,,,,,,,,,,,,,,,,,
F025,Religious denomination,,v52,which religious denomination do you belong to (Q13a) (harmonized),,Q289,"Religious denomination
(major groups)",,,,,,,,,,,,,,,,,,
F028,How often do you attend religious services,,v54,how often attend religious services (Q15),,Q171,How often do you attend religious services,,,,,,,,,,,,,,,,,,
F028B_WVS7,How often do you pray (WVS7),, --, --,,Q172,Pray to God outside of religious services (I),,,,,,,,,,,,,,,,,,
F066_EVS5,Pray to God outside of religious services (EVS5),,v64,how often do you pray outside religious services (Q22),, --, --,,,,,,,,,,,,,,,,,,
F034,Religious person,,v56,are you a religious person (Q17),,Q173,Religious person,,,,,,,,,,,,,,,,,,
F050,Believe in: God,,v57,do you believe in: God (Q18A),,Q165,Believe in: God,,,,,,,,,,,,,,,,,,
F051,Believe in: life after death,,v58,do you believe in: life after death (Q18B),,Q166,Believe in: life after death,,,,,,,,,,,,,,,,,,
F053,Believe in: hell,,v59,do you believe in: hell (Q18C),,Q167,Believe in: hell,,,,,,,,,,,,,,,,,,
F054,Believe in: heaven,,v60,do you believe in: heaven (Q18D),,Q168,Believe in: heaven,,,,,,,,,,,,,,,,,,
F063,How important is God in your life,,v63,how important is God in your life (Q21),,Q164,How important is God in your life,,,,,,,,,,,,,,,,,,
F114A,Justifiable: Claiming government benefits to which you are not entitled,,v149,do you justify: claiming state benefits (Q44A),,Q177,Justifiable: Claiming government benefits to which you are not entitled,,,,,,,,,,,,,,,,,,
F115,Justifiable: Avoiding a fare on public transport,,v159,do you justify: avoiding a fare on public transport (Q44K),,Q178,Justifiable: Avoiding a fare on public transport,,,,,,,,,,,,,,,,,,
F116,Justifiable: Cheating on taxes,,v150,do you justify: cheating on tax (Q44B),,Q180,Justifiable: Cheating on taxes,,,,,,,,,,,,,,,,,,
F117,Justifiable: Someone accepting a bribe,,v152,do you justify: accepting a bribe (Q44D),,Q181,Justifiable: Someone accepting a bribe,,,,,,,,,,,,,,,,,,
F118,Justifiable: Homosexuality,,v153,do you justify: homosexuality (Q44E),,Q182,Justifiable: Homosexuality,,,,,,,,,,,,,,,,,,
F119,Justifiable: Prostitution,,v160,do you justify: prostitution (Q44L),,Q183,Justifiable: Prostitution,,,,,,,,,,,,,,,,,,
F120,Justifiable: Abortion,,v154,do you justify: abortion (Q44F),,Q184,Justifiable: Abortion,,,,,,,,,,,,,,,,,,
F121,Justifiable: Divorce,,v155,do you justify: divorce (Q44G),,Q185,Justifiable: Divorce,,,,,,,,,,,,,,,,,,
F122,Justifiable: Euthanasia,,v156,do you justify: euthanasia (Q44H),,Q188,Justifiable: Euthanasia,,,,,,,,,,,,,,,,,,
F123,Justifiable: Suicide,,v157,do you justify: suicide (Q44I),,Q187,Justifiable: Suicide,,,,,,,,,,,,,,,,,,
F132,Justifiable: Having casual sex,,v158,do you justify: having casual sex (Q44J),,Q193,Justifiable: Having casual sex,,,,,,,,,,,,,,,,,,
F144_02,Justifiable: Death penalty,,v163,do you justify: death penalty (Q44O),,Q195,Justifiable: Death penalty,,,,,,,,,,,,,,,,,,
E290,Justifiable: Political violence,,v162,do you justify: political violence (Q44N),,Q194,Justifiable: Political violence,,,,,,,,,,,,,,,,,,
G005,Citizen of country,,v169,do you have... [country's] nationality (Q46),,Q269,Citizen of [country],,,,,,,,,,,,,,,,,,
"G006
",How proud of nationality,,v170,how proud are you to be a ... [country] citizen (Q47),,Q254,How proud of nationality,,,,,,,,,,,,,,,,,,
A165,Most people can be trusted,,v31,people can be trusted/can't be too careful (Q7),,Q57,Most people can be trusted,,,,,,,,,,,,,,,,,,
D001_B,How much you trust: Your family (B),,v32,how much you trust: your family (Q8A),,Q58,How much you trust: Your family (B),,,,,,,,,,,,,,,,,,
G007_18_B,Trust: Your neighborhood (B),,v33,how much you trust: people in your neighborhood (Q8B),,Q59,Trust: Your neighborhood (B),,,,,,,,,,,,,,,,,,
G007_33_B,Trust: People you know personally (B),,v34,how much you trust: people you know personally (Q8C),,Q60,Trust: People you know personally (B),,,,,,,,,,,,,,,,,,
G007_34_B,Trust: People you meet for the first time (B),,v35,how much you trust: people you meet for the first time (Q8D),,Q61,Trust: People you meet for the first time (B),,,,,,,,,,,,,,,,,,
G007_35_B,Trust: People of another religion (B),,v36,how much you trust: people of another religion (Q8E),,Q62,Trust: People of another religion (B),,,,,,,,,,,,,,,,,,
G007_36_B,Trust: People of another nationality (B),,v37,how much you trust: people of another nationality (Q8F),,Q63,Trust: People of another nationality (B),,,,,,,,,,,,,,,,,,
G052,Evaluate the impact of immigrants on the development of [your country],,v184,immigrants: impact on the development of [your country] (Q51),,Q121,Evaluate the impact of immigrants on the development of [your country],,,,,,,,,,,,,,,,,,
G062,"How close you feel: Continent; e.g. Europe, Asia etc.",,v167,how close do you feel: to [continent] (Q45D),,Q258,"How close you feel: Continent; e.g. Europe, Asia etc.]",,,,,,,,,,,,,,,,,,
