,year,demographic_A,demographic_B,question,p-value
142,2020,female,male,Justifiable: Homosexuality,0.0058525024
143,2020,female,male,Trust: People of another religion (B),0.0006222987
144,2020,female,male,Political system: Having experts make decisions,4.4356e-06
145,2020,female,male,Aims of country: second choice,0.0098925056
146,2020,female,male,Employment status Respondent,2.148139714e-52
147,2020,female,male,Political system: Having a democratic political system,2.1124738359999998e-23
148,2020,female,male,How often in country's elections: Voters are bribed,0.00010658750000000001
149,2020,female,male,Neighbours: Drug addicts,0.0005029087000000001
150,2020,female,male,How often do you pray (WVS7),0.0
151,2020,female,male,Marital status,5e-10
152,2020,female,male,Work should come first even if it means less spare time,2.2930000000000003e-06
153,2020,female,male,Men make better business executives than women do,1.3775725780000002e-27
154,2020,female,male,Democracy: The state makes people's incomes equal,0.0
155,2020,female,male,Important in life: Family,1.496728919e-16
156,2020,female,male,Vote in elections: local level,0.0004912536
157,2020,female,male,Willingness to fight for country,1.4888698040000001e-91
158,2020,female,male,"Member:  Self-help group, mutual aid group",2.2610080149999997e-19
159,2020,female,male,"How close you feel: Your village, town or city",0.0017300474
160,2020,female,male,Important child qualities: good manners,5.63411e-05
161,2020,female,male,Evaluate the impact of immigrants on the development of [your country],0.00021082000000000002
162,2020,female,male,Government has the right: Monitor all e-mails and any other information exchanged on the Internet,0.0009962589
163,2020,female,male,Most people can be trusted,0.0006224647
164,2020,female,male,How often in country's elections: Rich people buy elections,0.0002079992
165,2020,female,male,How often in country's elections: Votes are counted fairly,1.825e-07
166,2020,female,male,Interest in politics,1.4200920139999999e-77
167,2020,female,male,Scale of incomes (WVS7),0.0003272672
168,2020,female,male,Democracy: Women have the same rights as men.,0.0004788433
169,2020,female,male,How important is God in your life,2.2206718529999996e-20
170,2020,female,male,Highest educational level attained - Respondent´s Spouse:  ISCED‐code one digit,4.3589e-06
171,2020,female,male,Important in life: Politics,1.390669074e-16
172,2020,female,male,University is more important for a boy than for a girl,0.0
173,2020,female,male,State of health (subjective),2e-10
174,2020,female,male,Future changes: less importance placed on work,7.785900000000001e-06
175,2020,female,male,Justifiable: Political violence,1.256e-07
176,2020,female,male,Member: Belong to labour unions,6.158390707999999e-24
177,2020,female,male,How close you feel: World,3.23717e-05
178,2020,female,male,Justifiable: Suicide,0.0013318353
179,2020,female,male,Pre-school child suffers with working mother,0.0090991778
180,2020,female,male,Member: Belong to sports or recreation,5.699749606e-126
181,2020,female,male,Justifiable: Having casual sex,3.548783331e-23
182,2020,female,male,Aims of country: first choice,0.0076197124
183,2020,female,male,"How close do you feel: to your county, region, district ",0.0024160478
184,2020,female,male,Occupational group - respondent (WVS7),1.8503455419999998e-103
185,2020,female,male,Confidence: The Press,5.3e-09
186,2020,female,male,Member: Belong to political parties,2.769810875e-47
187,2020,female,male,How often in country's elections: TV news favors the governing party,1.3270000000000002e-07
188,2020,female,male,Member: Humanitarian or charitable organization,0.0
189,2020,female,male,Homosexual couples are as good parents as other couples,6.299064794000001e-32
190,2020,female,male,Confidence: The Environmental Protection Movement,0.0076890018
191,2020,female,male,How often in country's elections: Voters are threatened with  violence at the polls,0.0003047144
192,2020,female,male,"Member: Belong to conservation, the environment, ecology, animal rights",4.117230315999999e-21
193,2020,female,male,Member: Belong to religious organization,4e-10
194,2020,female,male,Private vs state ownership of business,1e-09
195,2020,female,male,Important in life: Work,2e-10
196,2020,female,male,Trust: People you meet for the first time (B),0.0021014962
197,2020,female,male,Men make better political leaders than women do,8.166622333e-22
198,2020,female,male,Confidence: Major regional organization (combined from country-specific),6.7026e-06
199,2020,female,male,Confidence: The Civil Services,0.00020430560000000002
200,2020,female,male,Religious person,3.588401363e-31
201,2020,female,male,Justifiable: Prostitution,5.657935095e-31
202,2020,female,male,Member: Belong to professional associations,3.540596587e-25
203,2020,female,male,Neighbours: Homosexuals,1.4231e-06
204,2020,female,male,"Jobs scarce: Employers should give priority to (nation) people than immigrants
(5-point scale)",0.0003121868
205,2020,female,male,Occupational group - respondent´s spouse (WVS7),5.2323066779999996e-247
206,2020,female,male,Justifiable: Cheating on taxes,1e-10
207,2020,female,male,Aims of respondent: second choice,0.008587373300000001
208,2020,female,male,Confidence: Major Companies,0.0011004985
209,2020,female,male,Work is a duty towards society,0.0
210,2020,female,male,Member: Belong to other groups,8.849623346999998e-24
211,2020,female,male,How often in country's elections: Opposition candidates are prevented from running,2.89521e-05
212,2020,female,male,Competition good or harmful,8e-10
213,2020,female,male,Political action: joining in boycotts,4.3990507690000004e-18
214,2020,female,male,Religious denomination,0.0
215,2020,female,male,Government responsibility,1.1614000000000001e-05
216,2020,female,male,Justifiable: Death penalty,3.5392066830000003e-16
217,2020,female,male,People who don´t work turn lazy,0.0028917364
218,2020,female,male,Justifiable: Someone accepting a bribe,8.858850000000001e-05
219,2020,female,male,Confidence: Parliament,3.15061e-05
220,2020,female,male,Confidence: The Police,0.000627245
221,2020,female,male,Do you live with your parents,1.74e-08
222,2020,female,male,Political action: signing a petition,0.0011966984
223,2020,female,male,Trust: People you know personally (B),0.0003872909
224,2020,female,male,Confidence: Justice System/Courts,1.282e-07
225,2020,female,male,Democracy: People receive state aid for unemployment.,0.0011403554
226,2020,female,male,Important child qualities: feeling of responsibility,0.0013279770000000002
227,2020,female,male,Vote in elections: National level,0.00035200790000000003
228,2020,female,male,How close do you feel: to country ,3.7457e-06
229,2020,female,male,Political action: joining unofficial strikes,4.9563000000000006e-05
230,2020,female,male,How often in country's elections: Election officials are fair,8.742e-07
231,2020,female,male,Confidence: The Political Parties,0.007537819
232,2020,female,male,Trust: Your neighborhood (B),0.0060020080000000005
233,2020,female,male,Confidence: The Government,0.0032415532
234,2020,female,male,Political action: attending lawful/peaceful demonstrations,5.0700000000000004e-08
235,2020,female,male,Believe in: hell,4e-10
236,2020,female,male,Believe in: heaven,7.482024559999999e-21
237,2020,female,male,Important in life: Religion,0.0001433034
238,2020,female,male,Member: Belong to consumer groups,5.3680130730000005e-17
239,2020,female,male,Institution of occupation,0.0
240,2020,female,male,"Member: Belong to education, arts, music or cultural activities",8.655e-07
241,2020,female,male,Self positioning in political scale,8.61e-08
242,2020,female,male,Important child qualities: tolerance and respect for other people,0.0
243,2020,female,male,Neighbours: Heavy drinkers,1.2740000000000002e-07
244,2019,female,male,Employment status Spouse/partner,3.2107785409999997e-69
245,2019,female,male,"Jobs scarce: Men should have more right to a job than women
(5-point scale)",5.308000000000001e-07
246,2019,female,male,Confidence: Armed Forces,5.1345000000000006e-06
247,2019,female,male,Believe in: life after death,1.63e-08
248,2019,female,male,Justifiable: Divorce,4.6065e-05
249,2019,female,male,Duty towards society to have children,0.0011176884
250,2019,female,male,Believe in: God,8.24e-08
251,2019,female,male,Income equality,0.0003525431
252,2019,female,male,Important child qualities: imagination,0.0021606698
253,2019,female,male,Highest educational level attained - Respondent: ISCED‐code one digit,0.0001006017
254,2019,female,male,Justifiable: Homosexuality,3e-10
255,2019,female,male,Employment status Respondent,3.16700097e-44
256,2019,female,male,How often do you pray (WVS7),7.953e-07
257,2019,female,male,Marital status,1.2229800000000001e-05
258,2019,female,male,Work should come first even if it means less spare time,0.0003117018
259,2019,female,male,Men make better business executives than women do,0.0
260,2019,female,male,Important in life: Family,0.0011003498
261,2019,female,male,Willingness to fight for country,2.214630229e-35
262,2019,female,male,How often in country's elections: Rich people buy elections,0.0012767411
263,2019,female,male,Interest in politics,1.1473076829999999e-20
264,2019,female,male,Political system: Having a strong leader,0.0072185963
265,2019,female,male,How important is God in your life,0.0030690797
266,2019,female,male,Important in life: Politics,6.7371e-05
267,2019,female,male,University is more important for a boy than for a girl,7.0564e-06
268,2019,female,male,Future changes: less importance placed on work,0.0008068273000000001
269,2019,female,male,Member: Belong to labour unions,0.0
270,2019,female,male,Democracy: Governments tax the rich and subsidize the poor.,3.22664e-05
271,2019,female,male,Justifiable: Avoiding a fare on public transport,0.0071209077
272,2019,female,male,Member: Belong to sports or recreation,3.727044761e-34
273,2019,female,male,Justifiable: Having casual sex,1.244e-07
274,2019,female,male,Important child qualities: hard work,0.0086046671
275,2019,female,male,Occupational group - respondent (WVS7),2.0472324390000003e-87
276,2019,female,male,Member: Belong to political parties,0.0
277,2019,female,male,Homosexual couples are as good parents as other couples,5.699e-07
278,2019,female,male,Important in life: Work,2.807e-07
279,2019,female,male,Trust: People you meet for the first time (B),0.0036126968
280,2019,female,male,Men make better political leaders than women do,1.1871508180000002e-18
281,2019,female,male,Religious person,4.44108e-05
282,2019,female,male,Justifiable: Prostitution,6.1e-08
283,2019,female,male,Member: Belong to professional associations,2.722e-07
284,2019,female,male,Neighbours: Homosexuals,0.0
285,2019,female,male,Occupational group - respondent´s spouse (WVS7),1.591337116e-78
286,2019,female,male,Work is a duty towards society,3.8260600000000004e-05
287,2019,female,male,Political action: joining in boycotts,0.008368051000000001
288,2019,female,male,Government responsibility,7.4977e-06
289,2019,female,male,Justifiable: Someone accepting a bribe,0.00048007240000000004
290,2019,female,male,Do you live with your parents,6.99e-08
291,2019,female,male,How often do you attend religious services,0.0078839537
292,2019,female,male,Political action: joining unofficial strikes,5.54792e-05
293,2019,female,male,Respondent immigrant / born in country ,0.0021086849
294,2019,female,male,Trust: Your neighborhood (B),1.42792e-05
295,2019,female,male,Political action: attending lawful/peaceful demonstrations,4e-09
296,2019,female,male,Believe in: hell,2.016e-07
297,2019,female,male,Believe in: heaven,0.0
298,2019,female,male,Important in life: Religion,0.0020070266
299,2019,female,male,Important child qualities: tolerance and respect for other people,7.22184e-05
300,2019,female,male,Neighbours: Heavy drinkers,1e-10
301,2017,female,male,Employment status Spouse/partner,1.1036813059999999e-97
302,2017,female,male,"Jobs scarce: Men should have more right to a job than women
(5-point scale)",0.0012690189
303,2017,female,male,Confidence: Armed Forces,1.6e-09
304,2017,female,male,Government has the right: Collect information about anyone living in [COUNTRY] without their knowledge,0.0
305,2017,female,male,Justifiable: Claiming government benefits to which you are not entitled,0.0006001449
306,2017,female,male,Democracy: People choose their leaders in free elections.,1.7861000000000001e-06
307,2017,female,male,Believe in: life after death,3.1855147389999995e-121
308,2017,female,male,Justifiable: Divorce,7.771100000000001e-06
309,2017,female,male,Important child qualities: religious faith,4.9e-09
310,2017,female,male,Believe in: God,9.514976795999998e-105
311,2017,female,male,Income equality,0.0
312,2017,female,male,Important child qualities: imagination,0.000345177
313,2017,female,male,Protecting environment vs. Economic growth,0.0012448468
314,2017,female,male,Highest educational level attained - Respondent: ISCED‐code one digit,0.0001222625
315,2017,female,male,Justifiable: Homosexuality,1.528333981e-27
316,2017,female,male,Trust: People of another religion (B),8.15575e-05
317,2017,female,male,Employment status Respondent,1.3556063910000001e-90
318,2017,female,male,Political system: Having a democratic political system,0.0
319,2017,female,male,Neighbours: Drug addicts,0.0001442484
320,2017,female,male,How often do you pray (WVS7),0.0
321,2017,female,male,Marital status,2.177182688e-30
322,2017,female,male,Trust: People of another nationality (B),0.0074497903
323,2017,female,male,Which party would you vote for: first choice (WVS5),0.0002648185
324,2017,female,male,Men make better business executives than women do,2.609801595e-34
325,2017,female,male,Democracy: The state makes people's incomes equal,8.707469369e-19
326,2017,female,male,Important in life: Family,1.0448082780000002e-63
327,2017,female,male,Satisfaction with the political system,3.53821e-05
328,2017,female,male,Vote in elections: local level,8.57e-08
329,2017,female,male,Willingness to fight for country,7.232284559e-165
330,2017,female,male,"How close you feel: Your village, town or city",0.0001652065
331,2017,female,male,Most people can be trusted,8.028000000000001e-07
332,2017,female,male,How often in country's elections: Rich people buy elections,0.0034734326
333,2017,female,male,Confidence: The United Nations,0.0031185894000000003
334,2017,female,male,How often in country's elections: Votes are counted fairly,2.184488273e-20
335,2017,female,male,Interest in politics,1.9310138699999998e-145
336,2017,female,male,Scale of incomes (WVS7),0.0
337,2017,female,male,Confidence: Churches,1.653194714e-28
338,2017,female,male,How important is God in your life,1.407111181e-95
339,2017,female,male,Important child qualities: determination perseverance,3.3e-09
340,2017,female,male,Important child qualities: obedience,8.50515e-05
341,2017,female,male,Important in life: Politics,3.456494147e-16
342,2017,female,male,Justifiable: Euthanasia,2.7867e-06
343,2017,female,male,University is more important for a boy than for a girl,4.59511e-05
344,2017,female,male,Democracy: The army takes over when government is incompetent.,1e-10
345,2017,female,male,State of health (subjective),0.0045092545000000005
346,2017,female,male,Justifiable: Political violence,0.0
347,2017,female,male,Member: Belong to labour unions,1e-10
348,2017,female,male,How close you feel: World,0.0004649179
349,2017,female,male,Importance of democracy,0.0061583558
350,2017,female,male,Member: Belong to sports or recreation,3.1263702470000003e-63
351,2017,female,male,Justifiable: Having casual sex,1.007433045e-56
352,2017,female,male,Aims of country: first choice,0.0
353,2017,female,male,"How close do you feel: to your county, region, district ",8.3994e-06
354,2017,female,male,Occupational group - respondent (WVS7),6.842842145000001e-43
355,2017,female,male,Government has the right: Keep people under video surveillance in public areas,0.0003808505
356,2017,female,male,Member: Belong to political parties,2.628951136e-48
357,2017,female,male,How often in country's elections: TV news favors the governing party,0.0007006821
358,2017,female,male,Member: Humanitarian or charitable organization,0.0
359,2017,female,male,Homosexual couples are as good parents as other couples,6.332274633e-93
360,2017,female,male,Neighbours: Immigrants/foreign workers,0.0026814339000000003
361,2017,female,male,Private vs state ownership of business,3.742087238e-16
362,2017,female,male,Important in life: Work,0.0005078971
363,2017,female,male,Trust: People you meet for the first time (B),0.00010537530000000001
364,2017,female,male,Important child qualities: independence,4.75743e-05
365,2017,female,male,Democraticness in own country,0.0082699537
366,2017,female,male,Men make better political leaders than women do,7.040520042999999e-21
367,2017,female,male,Confidence: Major regional organization (combined from country-specific),0.0005281256
368,2017,female,male,Religious person,2.4817964440000003e-128
369,2017,female,male,Justifiable: Prostitution,2.035020589e-129
370,2017,female,male,Member: Belong to professional associations,1.5153765100000003e-31
371,2017,female,male,Neighbours: Homosexuals,8e-10
372,2017,female,male,"Jobs scarce: Employers should give priority to (nation) people than immigrants
(5-point scale)",0.0032821621
373,2017,female,male,Occupational group - respondent´s spouse (WVS7),3.717221143e-83
374,2017,female,male,Justifiable: Cheating on taxes,1.9e-09
375,2017,female,male,How much freedom of choice and control,0.0
376,2017,female,male,Democracy: Religious authorities interpret the laws.,0.0
377,2017,female,male,Confidence: Major Companies,0.0017629044000000002
378,2017,female,male,Work is a duty towards society,0.0012861217000000001
379,2017,female,male,Member: Belong to other groups,4.337172413e-16
380,2017,female,male,Competition good or harmful,2.722434176e-16
381,2017,female,male,Political action: joining in boycotts,0.0
382,2017,female,male,Religious denomination,3.0284130359999996e-39
383,2017,female,male,Government responsibility,6.863079415e-17
384,2017,female,male,Justifiable: Death penalty,9.596002186e-25
385,2017,female,male,Democracy: Civil rights protect people’s liberty against oppression.,5.89096e-05
386,2017,female,male,Do you live with your parents,1.9540000000000002e-07
387,2017,female,male,Important in life: Friends,7.006502292999999e-21
388,2017,female,male,Confidence: Justice System/Courts,0.0
389,2017,female,male,Democracy: People receive state aid for unemployment.,1.2865e-06
390,2017,female,male,Important child qualities: feeling of responsibility,0.0007442815
391,2017,female,male,It is childs duty to take care of ill parent,0.0013632739
392,2017,female,male,Vote in elections: National level,3.2e-09
393,2017,female,male,How often do you attend religious services,0.0084658838
394,2017,female,male,Political action: joining unofficial strikes,2.231584125e-21
395,2017,female,male,Satisfaction with your life,4.2265e-06
396,2017,female,male,How often in country's elections: Election officials are fair,0.0
397,2017,female,male,Political action: attending lawful/peaceful demonstrations,0.0
398,2017,female,male,Believe in: hell,6.040511975e-25
399,2017,female,male,Believe in: heaven,1.751515834e-92
400,2017,female,male,Democracy: People obey their rulers,1.8310000000000002e-07
401,2017,female,male,One of main goals in life has been to make my parents proud,0.0098890569
402,2017,female,male,Important in life: Religion,4.984004821e-34
403,2017,female,male,Member: Belong to consumer groups,0.0021362852
404,2017,female,male,Institution of occupation,1.2730331880000001e-128
405,2017,female,male,"Member: Belong to education, arts, music or cultural activities",0.0002741971
406,2017,female,male,Self positioning in political scale,0.0
407,2017,female,male,Important child qualities: tolerance and respect for other people,4.516061074e-17
408,2017,female,male,Neighbours: Heavy drinkers,1.294910002e-30
409,2021,female,male,Highest educational level attained - Respondent´s Mother:  ISCED‐code one digit,1.62616e-05
410,2021,female,male,Employment status Spouse/partner,2.6139667389999997e-24
411,2021,female,male,"Jobs scarce: Men should have more right to a job than women
(5-point scale)",2.2818492749999997e-19
412,2021,female,male,Confidence: Armed Forces,0.007301040700000001
413,2021,female,male,Government has the right: Collect information about anyone living in [COUNTRY] without their knowledge,0.0012065639
414,2021,female,male,Justifiable: Claiming government benefits to which you are not entitled,0.0001865801
415,2021,female,male,"How close you feel: Continent; e.g. Europe, Asia etc.",0.0002901221
416,2021,female,male,Duty towards society to have children,2.4385e-06
417,2021,female,male,Believe in: God,1.33e-08
418,2021,female,male,Political system: Having experts make decisions,0.0052982624
419,2021,female,male,Employment status Respondent,1.0647823240000001e-17
420,2021,female,male,How often in country's elections: Voters are bribed,0.0005217009
421,2021,female,male,Neighbours: Drug addicts,1.1e-07
422,2021,female,male,How often do you pray (WVS7),7.000000000000001e-10
423,2021,female,male,Which party would you vote for: first choice (WVS5),0.0035767051
424,2021,female,male,Work should come first even if it means less spare time,0.0001020052
425,2021,female,male,Men make better business executives than women do,0.0
426,2021,female,male,Important in life: Family,2.14e-08
427,2021,female,male,Willingness to fight for country,8.669435234999999e-21
428,2021,female,male,"Member:  Self-help group, mutual aid group",1.89268e-05
429,2021,female,male,Evaluate the impact of immigrants on the development of [your country],0.0018569179000000001
430,2021,female,male,Most people can be trusted,7.665740000000001e-05
431,2021,female,male,How often in country's elections: Rich people buy elections,0.0082072796
432,2021,female,male,Interest in politics,9.265e-07
433,2021,female,male,Democracy: Women have the same rights as men.,0.0007461830000000001
434,2021,female,male,Important child qualities: obedience,0.0026050347000000002
435,2021,female,male,Important in life: Politics,0.0021522499
436,2021,female,male,University is more important for a boy than for a girl,7.2671e-06
437,2021,female,male,Neighbours: People of a different race,0.0009836376
438,2021,female,male,State of health (subjective),0.0
439,2021,female,male,Justifiable: Political violence,0.009563426100000001
440,2021,female,male,Member: Belong to labour unions,3.8e-09
441,2021,female,male,How close you feel: World,0.0001763338
442,2021,female,male,Justifiable: Avoiding a fare on public transport,0.0002805231
443,2021,female,male,Member: Belong to sports or recreation,7.681010527e-35
444,2021,female,male,Justifiable: Having casual sex,1.3e-09
445,2021,female,male,Aims of country: first choice,8e-10
446,2021,female,male,Occupational group - respondent (WVS7),1.969319659e-33
447,2021,female,male,Government has the right: Keep people under video surveillance in public areas,0.0007665584
448,2021,female,male,Confidence: The Press,0.0013670835
449,2021,female,male,Member: Belong to political parties,0.0
450,2021,female,male,Member: Humanitarian or charitable organization,6.891860000000001e-05
451,2021,female,male,"Member: Belong to conservation, the environment, ecology, animal rights",7.800000000000001e-08
452,2021,female,male,Member: Belong to religious organization,0.00014584640000000001
453,2021,female,male,Important in life: Work,1.967e-07
